timestamp,pitch
0.000000,71
0.001000,1675
0.002000,174
0.003000,1451
0.004000,1485
0.005000,1469
0.006000,1497
0.007000,1571
0.008000,1619
0.009000,1644
0.010000,1645
0.011000,1657
0.012000,1741
0.013000,1759
0.014000,1583
0.015000,1675
0.016000,1765
0.017000,1781
0.018000,2521
0.019000,1883
0.020000,1555
0.021000,1451
0.022000,1437
0.023000,1389
0.024000,1370
0.025000,1391
0.026000,1212
0.027000,1339
0.028000,1445
0.029000,1553
0.030000,1555
0.031000,1527
0.032000,1477
0.033000,1524
0.034000,1579
0.035000,1671
0.036000,1685
0.037000,1753
0.038000,1765
0.039000,1815
0.040000,2678
0.041000,1959
0.042000,1589
0.043000,1451
0.044000,1429
0.045000,1433
0.046000,1351
0.047000,1351
0.048000,1357
0.049000,1391
0.050000,1401
0.051000,1271
0.052000,1359
0.053000,1454
0.054000,1355
0.055000,1471
0.056000,1545
0.057000,1623
0.058000,1607
0.059000,1625
0.060000,1671
0.061000,1736
0.062000,1735
0.063000,2565
0.064000,1881
0.065000,1487
0.066000,1317
0.067000,1368
0.068000,1371
0.069000,1389
0.070000,1417
0.071000,1425
0.072000,1455
0.073000,1445
0.074000,1467
0.075000,1464
0.076000,1491
0.077000,1532
0.078000,1509
0.079000,1548
0.080000,1563
0.081000,1399
0.082000,1503
0.083000,1685
0.084000,1751
0.085000,2783
0.086000,1973
0.087000,1612
0.088000,1368
0.089000,1357
0.090000,1375
0.091000,1405
0.092000,1465
0.093000,1256
0.094000,1289
0.095000,1467
0.096000,1513
0.097000,1576
0.098000,1587
0.099000,1609
0.100000,1659
0.101000,1805
0.102000,1851
0.103000,1831
0.104000,1935
0.105000,1975
0.106000,1959
0.107000,2008
0.108000,2316
0.109000,1692
0.110000,1349
0.111000,1197
0.112000,1175
0.113000,1181
0.114000,1175
0.115000,1197
0.116000,1256
0.117000,1259
0.118000,1334
0.119000,1371
0.120000,1287
0.121000,1117
0.122000,1223
0.123000,1380
0.124000,1491
0.125000,1516
0.126000,1508
0.127000,1564
0.128000,1647
0.129000,1707
0.130000,2403
0.131000,1803
0.132000,1511
0.133000,1251
0.134000,1317
0.135000,1321
0.136000,1332
0.137000,1379
0.138000,1445
0.139000,1523
0.140000,1572
0.141000,1591
0.142000,1589
0.143000,1588
0.144000,1686
0.145000,1723
0.146000,1739
0.147000,1708
0.148000,1515
0.149000,1597
0.150000,1630
0.151000,1699
0.152000,2809
0.153000,1989
0.154000,1675
0.155000,1587
0.156000,1523
0.157000,1469
0.158000,1453
0.159000,1541
0.160000,1579
0.161000,1416
0.162000,1507
0.163000,1627
0.164000,1641
0.165000,1657
0.166000,1637
0.167000,1659
0.168000,1773
0.169000,1800
0.170000,1803
0.171000,1715
0.172000,1762
0.173000,1784
0.174000,1779
0.175000,2533
0.176000,1819
0.177000,1483
0.178000,1380
0.179000,1331
0.180000,1333
0.181000,1373
0.182000,1500
0.183000,1566
0.184000,1597
0.185000,1629
0.186000,1701
0.187000,1805
0.188000,1575
