timestamp,pitch
0.000000,3794
0.001000,2487
0.002000,1604
0.003000,485
0.004000,1161
0.005000,1613
0.006000,56
0.007000,0
0.008000,1553
0.009000,1559
0.010000,1485
0.011000,2531
0.012000,2382
0.013000,1981
0.014000,2904
0.015000,2807
0.016000,1579
0.017000,2041
0.018000,2287
0.019000,1449
0.020000,2155
0.021000,3052
0.022000,2332
0.023000,2578
0.024000,3534
0.025000,2357
0.026000,2187
0.027000,2463
0.028000,1357
0.029000,537
0.030000,1237
0.031000,1460
0.032000,140
0.033000,359
0.034000,1711
0.035000,1579
0.036000,1662
0.037000,2567
0.038000,2451
0.039000,1999
0.040000,2931
0.041000,2797
0.042000,1572
0.043000,2110
0.044000,2340
0.045000,1469
0.046000,2195
0.047000,2629
0.048000,2797
0.049000,2172
0.050000,2998
0.051000,3173
0.052000,2155
0.053000,2313
0.054000,2381
0.055000,988
0.056000,542
0.057000,1575
0.058000,1327
0.059000,413
0.060000,651
0.061000,1651
0.062000,1775
0.063000,2036
0.064000,2473
0.065000,2343
0.066000,2223
0.067000,2932
0.068000,2853
0.069000,1780
0.070000,1464
0.071000,2087
0.072000,2427
0.073000,1621
0.074000,2278
0.075000,3076
0.076000,2359
0.077000,2588
0.078000,3437
0.079000,2511
0.080000,1919
0.081000,2438
0.082000,1562
0.083000,509
0.084000,985
0.085000,1780
0.086000,659
0.087000,405
0.088000,1341
0.089000,1802
0.090000,1770
0.091000,2223
0.092000,2349
0.093000,2005
0.094000,2130
0.095000,2663
0.096000,2635
0.097000,1672
0.098000,1867
0.099000,2421
0.100000,1980
0.101000,2122
0.102000,2825
0.103000,2531
0.104000,2635
0.105000,3463
0.106000,2771
0.107000,1983
0.108000,2383
0.109000,1812
0.110000,614
0.111000,885
0.112000,1748
0.113000,473
0.114000,247
0.115000,1301
0.116000,1831
0.117000,1720
0.118000,2171
0.119000,2267
0.120000,2491
0.121000,2786
0.122000,1939
0.123000,1567
0.124000,2301
0.125000,2147
0.126000,2001
0.127000,2863
0.128000,2842
0.129000,2555
0.130000,3429
0.131000,3499
0.132000,2335
0.133000,2139
0.134000,2036
0.135000,1013
0.136000,655
0.137000,1527
0.138000,943
0.139000,9
0.140000,879
0.141000,1929
0.142000,1709
0.143000,1753
0.144000,2233
0.145000,2389
0.146000,2650
0.147000,2863
0.148000,1947
0.149000,1662
0.150000,2357
0.151000,2165
0.152000,2057
0.153000,2899
0.154000,2788
0.155000,2665
0.156000,3547
0.157000,3293
0.158000,2260
0.159000,2221
0.160000,1823
0.161000,813
0.162000,804
0.163000,1279
0.164000,629
0.165000,51
0.166000,683
0.167000,1906
0.168000,1836
0.169000,1635
0.170000,2137
0.171000,2463
0.172000,2664
0.173000,2919
0.174000,2022
0.175000,1620
0.176000,2330
0.177000,2173
0.178000,1933
0.179000,2791
0.180000,2885
0.181000,2573
0.182000,3466
0.183000,3503
0.184000,2365
0.185000,2029
0.186000,813
0.187000,809
0.188000,1115
0.189000,175
0.190000,139
0.191000,1183
0.192000,1981
0.193000,1947
0.194000,1775
0.195000,2200
0.196000,2809
0.197000,2858
0.198000,2585
0.199000,1691
0.200000,1683
0.201000,2221
0.202000,2099
0.203000,2253
0.204000,2909
0.205000,2781
0.206000,3039
0.207000,3893
0.208000,3033
0.209000,1017
0.210000,1031
0.211000,993
0.212000,45
0.213000,0
0.214000,1208
0.215000,1917
0.216000,1848
0.217000,1772
0.218000,2031
0.219000,2796
0.220000,3118
0.221000,2518
0.222000,1709
0.223000,1779
0.224000,2131
0.225000,2277
0.226000,2461
0.227000,2792
0.228000,2812
0.229000,3324
0.230000,4012
0.231000,3175
0.232000,2215
0.233000,799
0.234000,57
0.235000,393
0.236000,1371
0.237000,1819
0.238000,1715
0.239000,1625
0.240000,1884
0.241000,2740
0.242000,2972
0.243000,2253
0.244000,1691
0.245000,1691
0.246000,1941
0.247000,2390
0.248000,2632
0.249000,2653
0.250000,2763
0.251000,3448
0.252000,3851
0.253000,3093
0.254000,2073
0.255000,1235
0.256000,1597
0.257000,1903
0.258000,1531
0.259000,1701
0.260000,2575
0.261000,3051
0.262000,2524
0.263000,1943
0.264000,1341
0.265000,1558
0.266000,2317
0.267000,2483
0.268000,2299
0.269000,2645
0.270000,3512
0.271000,4095
0.272000,3557
0.273000,2654
0.274000,1803
0.275000,1289
0.276000,1839
0.277000,1100
0.278000,1039
0.279000,1759
0.280000,2776
0.281000,2604
0.282000,2350
0.283000,1187
0.284000,1135
0.285000,2281
0.286000,2732
0.287000,2026
0.288000,2319
0.289000,2935
0.290000,3918
0.291000,4095
0.292000,3141
0.293000,1947
0.294000,1348
0.295000,2153
0.296000,1694
0.297000,752
0.298000,8
0.299000,435
0.300000,1111
0.301000,2026
0.302000,2197
0.303000,822
0.304000,1043
0.305000,2279
0.306000,2553
0.307000,1805
0.308000,2165
0.309000,2943
0.310000,4095
0.311000,4095
0.312000,3173
0.313000,1835
0.314000,1545
0.315000,2293
0.316000,1721
0.317000,859
0.318000,297
0.319000,347
0.320000,1147
0.321000,2390
0.322000,1929
0.323000,1087
0.324000,1800
0.325000,2377
0.326000,1722
0.327000,1991
0.328000,2761
0.329000,4095
0.330000,3983
0.331000,2716
0.332000,1773
0.333000,1587
0.334000,2151
0.335000,1613
0.336000,755
0.337000,319
0.338000,552
0.339000,1363
0.340000,2263
0.341000,1852
0.342000,1279
0.343000,1787
0.344000,2729
0.345000,2859
0.346000,2359
0.347000,983
