timestamp,pitch
0.000000,615
0.001000,883
0.002000,1395
0.003000,1545
0.004000,1763
0.005000,1339
0.006000,1147
0.007000,1223
0.008000,1419
0.009000,1461
0.010000,1821
0.011000,2287
0.012000,2399
0.013000,2279
0.014000,2467
0.015000,2427
0.016000,2167
0.017000,2151
0.018000,1995
0.019000,1733
0.020000,1528
0.021000,1587
0.022000,1407
0.023000,1091
0.024000,1097
0.025000,973
0.026000,967
0.027000,2104
0.028000,1293
0.029000,1052
0.030000,965
0.031000,1002
0.032000,1133
0.033000,1386
0.034000,1653
0.035000,1692
0.036000,2006
0.037000,2463
0.038000,2507
0.039000,2427
0.040000,2361
0.041000,2299
0.042000,2269
0.043000,2403
0.044000,2345
0.045000,2077
0.046000,1939
0.047000,1695
0.048000,1482
0.049000,1509
0.050000,1773
0.051000,1273
0.052000,952
0.053000,925
0.054000,889
0.055000,818
0.056000,1039
0.057000,1379
0.058000,1625
0.059000,1763
0.060000,1948
0.061000,2137
0.062000,2279
0.063000,2247
0.064000,2163
0.065000,2189
0.066000,2141
0.067000,2133
0.068000,2067
0.069000,1726
0.070000,1641
0.071000,1510
0.072000,1307
0.073000,1931
0.074000,1343
0.075000,1001
0.076000,970
0.077000,959
0.078000,871
0.079000,1145
0.080000,1557
0.081000,1823
0.082000,2085
0.083000,2277
0.084000,2509
0.085000,2600
0.086000,2646
0.087000,2739
0.088000,2631
0.089000,2456
0.090000,2223
0.091000,1947
0.092000,1869
0.093000,1781
0.094000,1643
0.095000,1374
0.096000,1816
0.097000,967
0.098000,743
0.099000,655
0.100000,599
0.101000,909
0.102000,1258
0.103000,1451
0.104000,1837
0.105000,2195
0.106000,2323
0.107000,2408
0.108000,2457
0.109000,2544
0.110000,2633
0.111000,2549
0.112000,2329
0.113000,2037
0.114000,1823
0.115000,1690
0.116000,1427
0.117000,1070
0.118000,827
0.119000,921
0.120000,1463
0.121000,1063
0.122000,1222
0.123000,1289
0.124000,1433
0.125000,1940
0.126000,2171
0.127000,2101
0.128000,2229
0.129000,2313
0.130000,2247
0.131000,2348
0.132000,2207
0.133000,1959
0.134000,1853
0.135000,1830
0.136000,1531
0.137000,1128
0.138000,1033
0.139000,1125
0.140000,1199
0.141000,1141
0.142000,2187
0.143000,1935
0.144000,1885
0.145000,2123
0.146000,2207
0.147000,2261
0.148000,2199
0.149000,2220
0.150000,2355
0.151000,2415
0.152000,2263
0.153000,1939
0.154000,1755
0.155000,1801
0.156000,1637
0.157000,1161
0.158000,1044
0.159000,1119
0.160000,1211
0.161000,1144
0.162000,1109
0.163000,1169
0.164000,1403
0.165000,3381
0.166000,2728
0.167000,2555
0.168000,2651
0.169000,2571
0.170000,2263
0.171000,1982
0.172000,1735
0.173000,1635
0.174000,1431
0.175000,1227
0.176000,1015
0.177000,1015
0.178000,909
0.179000,728
0.180000,787
0.181000,949
0.182000,1181
0.183000,1575
0.184000,1836
0.185000,1988
0.186000,2457
0.187000,2547
0.188000,3149
0.189000,2169
0.190000,1711
0.191000,1391
0.192000,1143
0.193000,983
0.194000,789
0.195000,721
0.196000,687
0.197000,507
0.198000,731
0.199000,1149
0.200000,1417
0.201000,1557
0.202000,1704
0.203000,2116
0.204000,2551
0.205000,2590
0.206000,2739
0.207000,2931
0.208000,2887
0.209000,2664
0.210000,2175
0.211000,1881
0.212000,1039
0.213000,502
0.214000,441
0.215000,746
0.216000,1045
0.217000,1206
0.218000,1364
0.219000,1741
0.220000,2205
0.221000,2359
0.222000,2319
0.223000,2457
0.224000,2385
0.225000,2505
0.226000,2489
0.227000,2195
0.228000,1915
0.229000,1816
0.230000,1439
0.231000,1170
0.232000,1087
0.233000,921
0.234000,799
0.235000,3184
0.236000,2585
0.237000,2445
0.238000,2300
0.239000,2263
0.240000,2111
0.241000,1893
0.242000,1655
0.243000,1593
0.244000,1470
0.245000,1018
0.246000,979
0.247000,1141
0.248000,869
0.249000,739
0.250000,885
0.251000,923
0.252000,1454
0.253000,1822
0.254000,1919
0.255000,2414
0.256000,2895
0.257000,2952
0.258000,3285
0.259000,1929
0.260000,1209
0.261000,1095
0.262000,957
0.263000,590
0.264000,547
0.265000,751
0.266000,1183
0.267000,1647
0.268000,1646
0.269000,1855
